Year	Population
1950	2556.518868
1951	2594.286218
1952	2636.327569
1953	2681.6453
1954	2729.59137
1955	2781.022728
1956	2833.96217
1957	2889.768544
1958	2946.25365
1959	2998.566597
1960	3040.617096
1961	3081.357914
1962	3137.310049
1963	3206.784546
1964	3277.857333
1965	3346.78614
1966	3416.915657
1967	3486.554554
1968	3558.296344
1969	3632.820863
1970	3707.918808
1971	3785.251387
1972	3861.303852
1973	3936.832808
1974	4011.259221
1975	4083.741137
1976	4154.714573
1977	4226.260173
1978	4297.721618
1979	4371.992258
1980	4447.081447
1981	4522.496861
1982	4601.642622
1983	4682.718718
1984	4762.510938
1985	4843.719785
1986	4926.769119
1987	5012.704927
1988	5099.256557
1989	5185.74304
1990	5273.414884
1991	5357.220459
1992	5440.496027
1993	5521.312756
1994	5601.033178
1995	5681.678196
1996	5761.608971
1997	5840.574905
1998	5918.716088
1999	5995.599889
2000	6071.710896
2001	6147.535997
2002	6222.551715
2003	6297.4459
2004	6372.929801
2005	6449.137123
2006	6525.55921
2007	6602.274812
2008	6679.532264
2009	6757.06276
2010	6834.934808
2011	6913.263561
2012	6991.796293
2013	7070.248599
2014	7148.361369
2015	7225.918656
2016	7302.863077
2017	7379.190049
2018	7454.795039
